Clave,Descripción
25716070,25716070 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 17/01/2025 - 18/01/2025]  Duración:16 Hrs.
25716069,25716069 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 29/01/2025 - 30/01/2025]  Duración:16 Hrs.
25716068,25716068 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 27/01/2025 - 28/01/2025]  Duración:16 Hrs.
25716067,25716067 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 24/01/2025 - 25/01/2025]  Duración:16 Hrs.
25716066,25716066 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 20/01/2025 - 21/01/2025]  Duración:16 Hrs.
25716065,25716065 - MANEJO DE CUERDAS Y NUDOS.  [ 24/01/2025 - 25/01/2025]  Duración:16 Hrs.
25716064,25716064 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 31/01/2025 - 01/02/2025]  Duración:16 Hrs.
25716063,25716063 - Inducción a la Seguridad e Higiene.  [ 23/01/2025 - 23/01/2025]  Duración:8 Hrs.
25716062,25716062 - MANEJO DE CUERDAS Y NUDOS.  [ 15/01/2025 - 16/01/2025]  Duración:16 Hrs.
25716061,25716061 - Inducción a la Seguridad e Higiene.  [ 14/01/2025 - 14/01/2025]  Duración:8 Hrs.
25716060,25716060 - MANEJO DE CUERDAS Y NUDOS.  [ 31/01/2025 - 01/02/2025]  Duración:16 Hrs.
25716059,25716059 - MANEJO DE CUERDAS Y NUDOS.  [ 10/01/2025 - 11/01/2025]  Duración:16 Hrs.
25716058,25716058 - Inducción a la Seguridad e Higiene.  [ 09/01/2025 - 09/01/2025]  Duración:8 Hrs.
25716057,25716057 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 13/01/2025 - 14/01/2025]  Duración:16 Hrs.
